,batch,epochs,lr,out_loss_per_epoch,out_accuracy_val_set
0,10000,100,0.001,"[31.866957, 21.797413, 22.182343, 21.489391, 21.061625, 21.104992, 20.872417, 20.430094, 20.758703, 19.978285, 17.769657, 17.520048, 17.718092, 18.059147, 16.415098, 16.070139, 16.28384, 16.242924, 15.790437, 15.697946, 15.689666, 15.858169, 16.159117, 16.247448, 16.261, 16.375463, 16.033085, 14.62194, 14.152832, 14.192775, 14.19421, 14.250737, 14.252941, 14.381273, 14.334051, 14.567557, 14.323919, 13.456271, 13.238423, 13.203574, 13.175588, 13.202999, 13.182917, 13.197691, 13.229207, 13.212632, 13.234921, 13.259469, 13.289743, 14.650462, 15.663071, 15.944822, 15.975828, 15.836859, 15.747581, 15.851721, 15.745933, 16.136206, 17.042368, 17.50424, 17.477741, 16.990946, 16.792492, 16.873957, 17.055807, 16.163998, 15.496897, 15.2993, 15.054032, 15.156927, 15.1565895, 14.975888, 14.284243, 13.803646, 13.836871, 13.810211, 13.772529, 13.819559, 13.931654, 14.644564, 14.676412, 14.724092, 14.742641, 14.392495, 14.515063, 14.300006, 14.141076, 14.487264, 14.3251505, 14.493375, 14.418414, 14.598825, 14.871213, 16.126904, 17.234793, 18.124851, 16.730646, 14.72557, 14.886827, 14.995012]",0.24771428571428572
1,10000,100,0.005,"[19.221727, 20.317043, 19.489685, 17.611937, 17.792542, 16.981312, 18.500622, 17.420538, 18.169687, 20.004534, 17.223383, 13.263561, 13.053316, 13.003345, 13.020999, 13.041284, 13.086497, 13.491229, 12.970793, 12.76685, 12.579074, 12.490634, 12.452907, 12.532977, 12.368423, 12.413558, 12.245363, 12.303114, 12.407279, 12.432371, 12.435343, 12.358942, 12.443857, 12.329116, 12.568252, 12.559237, 12.819508, 13.110598, 12.543552, 12.194259, 12.824429, 12.915989, 11.663107, 9.9773035, 9.64768, 9.777115, 10.045984, 10.624904, 10.159012, 10.1454735, 10.2235775, 10.002523, 10.193643, 9.18515, 8.357555, 8.660636, 8.925354, 9.635361, 10.381957, 11.056474, 11.351022, 11.37381, 11.491818, 11.252122, 10.890898, 11.254206, 11.561372, 11.611594, 10.568437, 9.443158, 9.413333, 9.36549, 9.430505, 9.351113, 9.159594, 9.281086, 9.874812, 9.724902, 8.639078, 7.5618353, 7.3579974, 7.054106, 7.091271, 7.258861, 7.5453534, 7.649629, 7.5245852, 7.0752797, 6.6798353, 6.6843896, 6.742089, 6.4719405, 6.505248, 7.159018, 6.934281, 6.5529833, 6.8154254, 6.8197284, 6.9106755, 7.142337]",0.6768
2,10000,100,0.01,"[17.871391, 14.954929, 14.895756, 14.904874, 14.905102, 14.906991, 14.905074, 14.898892, 14.876591, 14.89005, 14.898718, 14.893783, 14.899973, 14.884798, 14.894716, 14.883904, 14.887677, 15.132418, 15.050768, 14.849723, 14.843638, 14.869165, 14.9031, 14.877915, 14.882985, 14.85613, 14.881686, 14.881557, 14.917493, 14.963455, 14.942183, 14.917658, 14.912066, 14.908632, 14.903579, 14.897175, 14.878698, 14.925842, 14.904962, 14.901306, 14.887302, 14.902457, 14.903529, 14.896768, 14.90651, 14.871845, 14.92455, 14.900946, 14.903473, 14.904799, 14.905631, 14.893686, 14.8919935, 14.895567, 14.872652, 14.895675, 14.892241, 14.895245, 14.963466, 15.018375, 15.0799885, 14.9395075, 14.933497, 15.020013, 16.78211, 15.613514, 15.106142, 14.907399, 14.896567, 14.892801, 14.887315, 14.88656, 14.89404, 14.892645, 14.892522, 14.894511, 14.893674, 14.890657, 14.893316, 14.890492, 14.891741, 14.893235, 14.891832, 14.894016, 14.8966255, 14.890578, 14.888062, 14.887283, 14.889829, 14.893695, 14.876763, 14.8653755, 14.893354, 14.849111, 14.892564, 14.889467, 14.895276, 14.896262, 14.890804, 14.891806]",0.001142857142857143
3,10000,100,0.05,"[17.46179, 15.057489, 15.057491, 15.057489, 15.058823, 15.05882, 15.058168, 15.057492, 15.058162, 15.057486, 15.057488, 15.058826, 15.058155, 15.058156, 15.05816, 15.059494, 15.057489, 15.057499, 15.058161, 15.056163, 15.058152, 15.058152, 15.057486, 15.057486, 15.058819, 15.058164, 15.058819, 15.056826, 15.0588255, 15.058823, 15.058155, 15.058155, 15.058823, 15.05682, 15.05816, 15.058156, 15.056838, 15.056163, 15.059489, 15.057486, 15.056819, 15.05882, 15.060152, 15.056826, 15.056164, 15.057489, 15.058171, 15.057495, 15.059492, 15.059493, 15.058158, 15.05682, 15.058819, 15.056826, 15.058819, 15.057486, 15.058163, 15.058162, 15.057488, 15.058825, 15.058822, 15.059488, 15.057493, 15.059489, 15.058152, 15.058825, 15.058822, 15.05882, 15.059488, 15.0568285, 15.057494, 15.05882, 15.058155, 15.058823, 15.058152, 15.058152, 15.058152, 15.057486, 15.057493, 15.058162, 15.060155, 15.057488, 15.057494, 15.058152, 15.058154, 15.056829, 15.058821, 15.058819, 15.057501, 15.058152, 15.056836, 15.058822, 15.058826, 15.058824, 15.057488, 15.056167, 15.057488, 15.058155, 15.058825, 15.058165]",0.0
4,10000,100,0.1,"[17.768675, 15.066165, 15.077489, 15.081486, 15.070159, 15.064168, 15.074163, 15.074839, 15.083501, 15.074152, 15.074156, 15.097056, 15.0728245, 15.072153, 15.072161, 15.072828, 15.075492, 15.072161, 15.092379, 15.072818, 15.067501, 15.070841, 15.076157, 15.074822, 15.070828, 15.074832, 15.075507, 15.076827, 15.087719, 15.072822, 15.083493, 15.092374, 15.071489, 15.069495, 15.072827, 15.07282, 15.070161, 15.071486, 15.066827, 15.071492, 15.078157, 15.069488, 15.073488, 15.07083, 15.0781555, 15.068152, 15.074826, 15.095053, 15.07683, 15.070156, 15.077488, 15.091707, 15.071504, 15.074152, 15.076156, 15.070834, 15.078155, 15.074157, 15.078155, 15.069495, 15.073489, 15.076157, 15.072155, 15.077489, 15.070834, 15.075511, 15.0715, 15.07485, 15.073487, 15.0695, 15.067488, 15.073485, 15.090375, 15.075486, 15.073487, 15.069488, 15.0701685, 15.074167, 15.077491, 15.069494, 15.072828, 15.074167, 15.074822, 15.073487, 15.074154, 15.046613, 15.075488, 15.077489, 15.068822, 15.070155, 15.073488, 15.076819, 15.068826, 15.072836, 15.070834, 15.072833, 15.066822, 15.078155, 15.069486, 15.0694895]",0.00017142857142857143
5,10000,100,0.2,"[18.634802, 15.054271, 15.055553, 15.050322, 15.054249, 15.054942, 15.050967, 15.053589, 15.05425, 15.053596, 15.054285, 15.0562105, 15.055552, 15.05425, 15.0549, 15.055549, 15.0549135, 15.056209, 15.052949, 15.054927, 15.052945, 15.051637, 15.051632, 15.054249, 15.054248, 15.05556, 15.054244, 15.054894, 15.05425, 15.0516205, 15.052948, 15.052945, 15.054248, 15.054254, 15.050983, 15.055559, 15.054249, 15.0536, 15.055557, 15.050983, 15.052943, 15.050991, 15.052944, 15.054892, 15.050971, 15.052296, 15.053607, 15.052285, 15.054273, 15.054243, 15.052941, 15.054242, 15.050329, 15.054246, 15.053597, 15.056864, 15.055561, 15.051642, 15.053594, 15.056867, 15.055547, 15.052945, 15.053605, 15.053596, 15.049655, 15.033646, 15.055621, 15.052978, 15.053598, 15.053643, 15.056202, 15.054906, 15.054906, 15.054922, 15.054897, 15.0523, 15.052943, 15.053586, 15.054247, 15.052281, 15.054267, 15.055555, 15.054249, 15.053625, 15.052947, 15.054258, 15.052304, 15.054251, 15.055558, 15.052295, 15.054898, 15.052281, 15.056872, 15.054904, 15.055551, 15.054256, 15.052954, 15.056205, 15.054247, 15.053626]",0.00022857142857142857
6,5000,100,0.001,"[29.83052, 18.00764, 17.998608, 18.820942, 17.785238, 17.896324, 16.782774, 17.860607, 17.339537, 15.730139, 14.838969, 14.9953375, 15.146263, 14.904705, 14.821226, 14.804501, 14.725645, 14.567292, 14.628486, 14.532542, 14.384978, 14.2173195, 14.214379, 14.18154, 14.025358, 14.080505, 14.055441, 13.953986, 14.010653, 13.972278, 14.095849, 14.158835, 14.008765, 13.95736, 14.01843, 13.849606, 13.951466, 14.047669, 13.981169, 14.01301, 13.98229, 14.040773, 13.999536, 13.969723, 13.925246, 13.947896, 14.007259, 14.00831, 13.861991, 13.792876, 14.08528, 14.2109585, 17.642748, 17.968704, 17.960005, 18.335768, 18.744146, 18.872232, 18.679943, 18.725819, 18.660694, 18.737034, 18.844091, 18.827284, 19.845873, 21.195797, 21.12137, 21.381762, 21.469713, 21.238708, 21.328455, 21.385546, 21.740711, 21.45626, 21.239832, 21.32597, 21.298082, 21.35062, 21.295067, 21.475683, 21.557816, 22.132532, 22.054611, 21.98173, 22.186218, 22.187231, 22.23209, 22.13048, 21.792456, 22.022547, 21.853971, 21.888529, 21.808334, 21.802525, 21.913012, 21.68256, 21.36572, 21.778202, 21.52703, 21.687254]",0.34068571428571426
7,5000,100,0.005,"[17.0504, 16.139875, 22.36633, 21.20351, 22.70003, 20.885853, 21.657564, 17.980806, 18.206182, 16.56466, 13.876007, 13.610134, 14.24211, 14.221545, 14.587157, 15.408251, 14.301145, 14.779932, 15.3842945, 15.491795, 15.012893, 15.066529, 15.020263, 14.866, 14.978227, 15.427427, 15.280438, 14.426696, 14.373446, 14.433026, 14.297651, 14.095838, 14.213517, 14.326616, 14.295147, 14.342078, 14.510909, 14.066641, 14.088079, 14.273797, 14.131737, 14.138766, 14.240527, 13.969608, 13.882051, 13.955105, 13.98512, 13.969745, 14.118256, 13.99038, 13.874235, 14.089398, 14.012872, 13.925993, 13.002279, 12.962742, 12.887306, 12.899351, 13.012611, 13.127787, 12.937187, 12.940825, 12.91748, 12.936339, 12.944753, 12.938238, 12.985818, 13.043233, 13.235576, 13.249414, 13.164966, 13.0133, 12.970465, 12.962646, 12.995277, 13.018481, 13.027982, 12.955511, 12.967321, 12.942152, 12.943601, 13.175934, 13.664819, 13.636031, 13.499229, 13.388949, 13.289755, 13.473696, 13.524067, 13.526696, 13.501854, 13.343895, 13.436891, 13.413322, 13.0595455, 12.975233, 13.008777, 13.03341, 12.957567, 12.985526]",0.011314285714285714
8,5000,100,0.01,"[16.72588, 14.937004, 14.9007845, 14.908016, 14.918535, 14.917219, 14.865142, 14.860473, 14.859642, 14.859733, 14.8518305, 14.854639, 14.854126, 14.852478, 14.849833, 14.853671, 14.848845, 14.849957, 14.850341, 14.8497505, 14.851032, 14.852652, 14.849418, 14.84926, 14.849351, 14.849961, 14.849233, 14.85063, 14.849456, 14.848612, 14.851651, 14.848757, 14.849883, 14.849957, 14.851289, 14.848547, 14.849262, 14.849212, 14.849517, 14.849342, 14.849369, 14.851011, 14.85003, 14.849963, 14.849135, 14.848012, 14.849506, 14.849281, 14.849487, 14.850069, 14.848591, 14.850508, 14.849937, 14.849266, 14.848597, 14.849361, 14.850152, 14.849618, 14.849384, 14.849268, 14.849186, 14.849377, 14.8497925, 14.848528, 14.8494835, 14.850207, 14.84924, 14.849942, 14.849876, 14.850147, 14.85158, 14.849536, 14.851185, 14.849637, 14.850411, 14.850529, 14.849683, 14.849239, 14.849512, 14.848802, 14.848987, 14.850582, 14.849764, 14.84955, 14.850952, 14.84958, 14.849603, 14.848854, 14.8490095, 14.849785, 14.84975, 14.849538, 14.850443, 14.8495655, 14.8503685, 14.849559, 14.850363, 14.850207, 14.850559, 14.849546]",0.00014285714285714287
9,5000,100,0.05,"[16.755013, 15.000599, 14.990923, 15.000513, 15.000383, 14.994309, 14.999072, 14.997011, 14.998373, 14.999061, 14.99771, 14.9990425, 14.995679, 14.984542, 14.985732, 14.971474, 14.980985, 14.981625, 14.980296, 14.979629, 14.981606, 14.981599, 14.983649, 14.980947, 14.974868, 14.976885, 14.976287, 14.9574795, 14.952803, 14.953483, 14.968312, 14.955512, 14.966976, 14.951006, 14.965636, 14.963615, 14.96157, 14.9561405, 14.954765, 14.95955, 14.960215, 14.958134, 14.960186, 14.958205, 14.946229, 14.959523, 14.966274, 14.964254, 14.95754, 14.969028, 14.954845, 14.956783, 14.954171, 14.959543, 14.961571, 14.958121, 14.941268, 14.962903, 14.952114, 14.956147, 14.9662695, 14.956858, 14.958835, 14.9521, 14.952127, 14.954822, 14.950726, 14.968977, 14.962215, 14.963569, 14.965618, 14.944881, 14.958225, 14.957505, 14.95745, 14.960838, 14.950077, 14.950748, 14.959556, 14.9514265, 14.956852, 14.946241, 14.951378, 14.93904, 14.9622555, 14.961546, 14.958177, 14.956169, 14.952767, 14.966917, 14.960238, 14.951378, 14.954856, 14.946918, 14.947613, 14.953664, 14.945567, 14.962923, 14.953462, 14.956821]",0.003742857142857143
